"","start","end","today","city","park","sign_name","sign_hours","hours_list","sign1_map","sign1_vol","sign1_contact","sign1_multilang","sign1_fund_priv","sign1_fund_pub","sign2_PAyes","sign2_PAno","sign2_limituse","sign2_prohibitalcohol","sign2_prohibitdrugs","sign2_prohibittobacco","sign3_prohibitfoodbev","sign3_nopets","sign3_gensafe","safety_phone","safety_camera","mrkt_banners","mrkt_posters","mrkt_boards","amen1_bike","amen1_shelter","amen1_auditorium","amen1_class","amen1_gym","amen1_office","amen1_otherbuild","amen2_handicapaccess","amen2_vend","amen2_art","amen2_drink","amen2_water_dec","amen2_water_nat","amen2_fieldlight","amen2_pathlight","amen2_trash","amen2_petbags","amen3_bench","amen3_grill","amen3_orngarden","amen3_commgarden","amen3_trees","bath","bath_acc","parking","parking_fee","fenced_baseball","fenced_sportsfield","fenced_playarea","playarea_shade","playarea_surface","playarea_surface_otr","playarea_elements","playarea_elements_otr","pathsurface","geo_flat","geo_woods","hood","restype","commtype","near_school","near_library","near_hosp","near_childcare","st_hwy","st_lanes","st_bikelane","st_bus","entrances_num","entrances_xwalk","entrances_calming","playarea_structures"
"149","May 1, 2016 3:09:30 PM","May 1, 2016 3:14:31 PM","May 1, 2016","St. Louis","sl01","yes","yes","6 AM TO 10 PM","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","none","1","none","no","no","no","no","no","no","","no","no","no","no","yes","no","no","no","yes","no","yes","yes","no","yes","many","no","","no","","no","yes","yes","no","rubber","","climber house slide swing","Workers said that the playground is going to be replaced this year","paved","manyhills","no","res","sgl multi apt","","no","no","no","no","no","1_2","no","yes","none","some","many",2
"150","May 14, 2016 1:11:46 PM","May 14, 2016 1:22:31 PM","May 14, 2016","St. Louis","sl02","yes","yes","6-10","no","no","no","no","no","no","yes","yes","yes","yes","no","no","no","no","yes","no","yes","none","none","none","no","yes","no","no","no","no","Closed police substation","no","no","yes","yes","yes","yes","no","yes","yes","no","yes","no","yes","no","many","yes","no","no","","no","yes","no","no","mulch pavement rubber","","balance climber house slide swing","","paved","somehills","no","res","sgl apt","","yes","no","no","no","no","3_4","no","yes","3","some","none",3
"151","Jun 5, 2016 12:07:40 PM","Jun 5, 2016 12:14:12 PM","Jun 5, 2016","St. Louis","sl03","no","yes","6AM-10PM","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","none","none","none","no","no","no","no","no","no","","no","no","no","no","no","no","no","yes","yes","no","yes","no","no","no","many","no","","no","","no","no","yes","no","rubber","","balance climber slide swing","No","none","somehills","no","res","sgl","","no","no","no","no","no","3_4","yes","yes","none","many","none",2
"152","Jun 12, 2016 9:04:11 AM","Jun 12, 2016 9:11:56 AM","Jun 12, 2016","St. Louis","sl04","yes","yes","6AM-10PM","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","none","none","none","no","yes","no","no","no","no","","no","no","no","yes","no","no","no","yes","yes","no","yes","no","no","no","few","yes","no","no","","no","yes","no","no","pavement rubber","","climber slide swing","","none","somehills","no","res","sgl","","yes","no","no","no","no","3_4","no","no","2","some","none",2
"153","Jun 19, 2016 3:09:20 PM","Jun 19, 2016 3:16:55 PM","Jun 19, 2016","St. Louis","sl05","yes","yes","10AM-6PM","no","no","no","no","no","no","yes","yes","yes","yes","no","no","no","yes","yes","no","no","none","none","none","no","yes","no","no","no","no","","no","no","yes","yes","no","no","yes","yes","yes","no","yes","no","no","no","many","yes","yes","no","","yes","yes","yes","yes","mulch rubber","","balance climber slide swing","Outdoor gym bars","none","somehills","no","res","sgl","","yes","no","no","no","no","1_2","no","no","mt4","many","some",4
"154","Jun 26, 2016 12:06:23 PM","Jun 26, 2016 12:10:48 PM","Jun 26, 2016","St. Louis","sl06","no","no","","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","none","none","none","no","no","no","no","no","no","","no","no","no","no","no","no","no","no","no","no","no","no","no","no","none","no","","no","","no","yes","","","","","","","paved","somehills","no","ind","","","no","no","no","no","no","1_2","no","no","none","none","none",NA
"155","May 8, 2016 9:02:38 AM","May 8, 2016 9:05:36 AM","May 8, 2016","Topeka","to01","yes","yes","6AM-11PM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","none","none","none","no","no","no","no","no","no","","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","few","no","","no","","no","no","yes","no","grass","","climber","Seesaw × 2","none","yes","no","res","sgl","","yes","no","no","no","no","3_4","no","no","none","none","none",3
"156","Apr 26, 2016 4:09:22 PM","Apr 26, 2016 4:12:57 PM","Apr 26, 2016","Topeka","to02","yes","no","","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","none","none","none","no","no","no","no","no","no","","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","few","no","","no","","no","no","yes","yes","rubber","","climber slide spinner swing","","none","yes","yes","res","sgl apt","","no","no","no","no","no","1_2","no","no","none","none","none",5
"157","Apr 19, 2016 12:03:03 PM","Apr 19, 2016 12:06:33 PM","Apr 19, 2016","Topeka","to03","yes","yes","6AM-11PM","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","none","none","none","no","no","no","no","no","no","","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","many","no","","no","","no","no","no","no","rubber","","climber slide spinner swing","","none","somehills","no","res","sgl","","no","no","no","no","no","1_2","no","no","none","some","none",6
"158","Apr 9, 2016 1:12:08 PM","Apr 9, 2016 1:21:13 PM","Apr 9, 2016","Topeka","to04","yes","yes","6AM TO 11PM","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","none","none","none","no","yes","no","no","no","no","","yes","no","yes","no","no","no","no","no","yes","no","yes","yes","no","no","few","no","","yes","no","no","no","yes","no","rubber","","climber sand slide swing","","none","somehills","no","res","sgl","","no","no","no","no","no","1_2","no","no","none","none","none",5
